model_no	tot_nodes	max_indeg	mean_indeg	original_mod_jaccard	IMR_maj_jaccard	BMR_maj_jaccard	att_recovery_score_IMR	att_recovery_score_BMR
7	5	4	2.8	1.0	1.0	0.4	1.0	0.4
8	28	4	1.714	0.27835051546391754	0.029484029484029485	2.4653616685567774e-05	0.10592410592410592	8.857040068518792e-05
10	15	7	2.6	0.3333333333333333	0.0	0.015503875968992248	0.0	0.046511627906976744
22	22	7	2.0	0.06557377049180328	0.007874015748031496	0.00012009126936471719	0.12007874015748031	0.001831391857811937
23	10	6	3.5	1.0	0.0	0.014084507042253521	0.0	0.014084507042253521
31	9	4	2.111	0.5	0.0	0.0	0.0	0.0
40	23	5	1.652	0.09090909090909091	0.003284072249589491	0.00028896166441918705	0.0361247947454844	0.0031785783086110573
61	26	9	3.115	0.3333333333333333	0.0	0.0	0.0	0.0
63	13	4	1.923	0.8888888888888888	0.22580645161290322	0.042735042735042736	0.2540322580645161	0.04807692307692308
67	13	3	1.615	0.6190476190476191	0.12264150943396226	0.03389830508474576	0.1981132075471698	0.054758800521512385
69	22	6	1.818	1.0	0.02857142857142857	0.0	0.02857142857142857	0.0
74	18	4	2.389	0.3333333333333333	0.0	0.0012987012987012987	0.0	0.003896103896103896
85	27	6	1.963	0.7692307692307693	0.006105006105006105	0.0058445353594389245	0.007936507936507936	0.007597895967270602
86	20	9	4.5	0.6923076923076923	0.0	0.0037965072133637054	0.0	0.005483843752636463
88	6	2	1.833	0.6	0.2	0.3	0.33333333333333337	0.5
95	10	5	2.8	0.13333333333333333	0.07692307692307693	0.010638297872340425	0.576923076923077	0.0797872340425532
99	19	6	2.053	0.5	0.04411764705882353	0.0	0.08823529411764706	0.0
100	21	5	1.571	1.0	0.13513513513513514	0.0004026089057089943	0.13513513513513514	0.0004026089057089943
109	5	4	3.0	0.5	0.0	0.0	0.0	0.0
110	9	2	1.333	1.0	1.0	0.08695652173913043	1.0	0.08695652173913043
133	10	4	1.8	0.4	0.02702702702702703	0.0	0.06756756756756757	0.0
200	26	6	2.769	0.5	0.010416666666666666	6.554798112218144e-05	0.020833333333333332	0.00013109596224436288
208	15	5	2.4	0.5714285714285714	0.043478260869565216	0.008130081300813009	0.07608695652173914	0.014227642276422767
212	16	5	1.875	0.375	0.02	0.012121212121212121	0.05333333333333334	0.03232323232323232
