model_no	tot_nodes	max_indeg	mean_indeg	pub_gold_std_JS_dist	IMR_gold_std_JS_dist	BMR_gold_std_JS_dist
7	5	4	2.8	0.0	0.3524996609002046	0.6960311561144866
8	28	4	1.714	0.5287734414671482	0.9980847220983147	0.9999971271108921
10	15	7	2.6	0.5611087049229856	0.9999999999999999	0.9829273210438649
22	22	7	2.0	0.9481478166434796	0.9707770804713418	0.9999655672959716
23	10	6	3.5	0.0	1.0	0.9884101526564574
31	9	4	2.111	0.7531427893549254	1.0	0.9999999999999999
40	23	5	1.652	0.9102391804277363	0.9818319198233268	0.9999125033999309
61	26	9	3.115	0.665770134404309	1.0	1.0
63	13	4	1.923	0.25594500389188235	0.6023436543109726	0.9490067967517251
67	13	3	1.615	0.4164836598496075	0.7848591782086379	0.9897852421603072
69	22	6	1.818	0.0	0.999301306252108	1.0
74	18	4	2.389	0.11097680620401652	1.0	0.6625205981622871
85	27	6	1.963	0.24851539284349503	0.8884491225811944	0.9277783068225791
86	20	9	4.5	0.7245078591367392	1.0	0.9990442322704549
88	6	2	1.833	0.8615911831894357	0.6778062402947507	0.9029318960925419
95	10	5	2.8	0.5787220488521209	0.703372282177158	0.9972880839833869
99	19	6	2.053	0.5848012687707622	0.9618949787317448	1.0
100	21	5	1.571	0.0	0.7745085706673309	0.9915129966807218
109	5	4	3.0	0.5801088651235917	1.0	1.0
110	9	2	1.333	0.0	0.3524996609002046	0.8323655607581859
133	10	4	1.8	0.6023277623388472	0.930674266978829	1.0
200	26	6	2.769	0.6087364802471188	0.807843818431078	0.9974491844348722
208	15	5	2.4	0.44143713222800873	0.9297527685112571	0.9990085886790077
212	16	5	1.875	0.6425288370972307	0.9937232590137298	0.9913924972649382
