Input	EThF	NCF	ising_eff	bit_based_eff	non_NCF_bit	bit_intersect_NCF	non_bit_NCF	frac_NCF_in_EThF	frac_eff_ising_in_EThF	frac_eff_bit_based_in_EThF	frac_non_NCF_bit_in_EThF	frac_NCF_intersect_bit_in_EThF	frac_non_bit_NCF_in_EThF
1	2	2	2	1	0	1	1	1.0	1.0	0.5	0.0	0.5	0.5
2	8	8	0	3	0	3	5	1.0	0.0	0.375	0.0	0.375	0.625
3	72	64	8	16	3	13	51	0.8888888888888888	0.1111111111111111	0.2222222222222222	0.0416666666666666	0.1805555555555555	0.7083333333333334
4	1536	736	32	43	38	5	731	0.4791666666666667	0.0208333333333333	0.0279947916666666	0.0247395833333333	0.0032552083333333	0.4759114583333333
5	86080	10624	32	106	100	6	10618	0.1234200743494423	0.0003717472118959	0.0012314126394052	0.0011617100371747	6.970260223048327e-05	0.1233503717472118
6	14487040	183936	192	249	242	7	183929	0.0126965895034458	1.325322495140484e-05	1.7187776108853155e-05	1.6704585615833185e-05	4.831904930199682e-07	0.0126961063129528
7	8274797440	3715072	128	568	560	8	3715064	0.0004489622890394	1.5468656595900914e-08	6.864216364431031e-08	6.76753726070665e-08	9.667910372438071e-10	0.0004489613222483
8	17494930604032	85755372	1024	1271	1262	9	85755363	4.901726902548344e-06	5.853124103070187e-11	7.264961655275596e-11	7.213518181713456e-11	5.144347356214033e-13	4.901726388113608e-06
9	144222448789966828	2226939904	512	2806	2796	10	2226939894	1.5441007434585472e-08	3.550071464572293e-15	1.9456055721855183e-14	1.938671838856275e-14	6.93373332924276e-17	1.5441007365248142e-08
